[2025-08-01 20:31:00,384] 160 numexpr.utils INFO NumExpr defaulting to 4 threads.
[2025-08-01 20:32:26,986] 149 tensorflow WARNING From C:\Users\pc\anaconda3\Lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

[2025-08-01 20:32:29,201] 149 tensorflow WARNING From C:\Users\pc\anaconda3\Lib\site-packages\keras\src\backend\common\global_state.py:82: The name tf.reset_default_graph is deprecated. Please use tf.compat.v1.reset_default_graph instead.

[2025-08-01 20:32:42,024] 19 root INFO Data loading started...
[2025-08-01 20:33:55,191] 98 unstructured_inference INFO Reading image file: C:\Users\pc\AppData\Local\Temp\tmpw0i_nh9y.jpeg ...
[2025-08-01 20:34:01,634] 54 root ERROR Exception in loading data: tesseract is not installed or it's not in your PATH. See README file for more information.
[2025-08-01 20:34:12,898] 19 root INFO Data loading started...
[2025-08-01 20:34:12,907] 98 unstructured_inference INFO Reading image file: C:\Users\pc\AppData\Local\Temp\tmpuelpispj.jpeg ...
[2025-08-01 20:34:13,132] 19 root INFO Data loading started...
[2025-08-01 20:34:13,137] 98 unstructured_inference INFO Reading image file: C:\Users\pc\AppData\Local\Temp\tmpl929p293.jpeg ...
[2025-08-01 20:34:25,123] 54 root ERROR Exception in loading data: tesseract is not installed or it's not in your PATH. See README file for more information.
[2025-08-01 20:34:26,678] 54 root ERROR Exception in loading data: tesseract is not installed or it's not in your PATH. See README file for more information.
